VOTACION;ETIQUETA_ZONA;PROVINCIA;ETIQUETA_CAND;ETIQUETA_AGRUP;ETIQUETA_BLOQUE;VOTOS;totalMesas;votosNulos;mesasescrutadas;votosEmitidos;votosValidos;votosBlancos;concurrencia;electores
GOB;25 de Mayo;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;4274;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;2491;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;2157;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;127;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;64;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;60;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;48;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;31;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;30;45;58;10000;9442;9306;78;6406;14742
GOB;25 de Mayo;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;24;45;58;10000;9442;9306;78;6406;14742
INT;25 de Mayo;San Juan;;Vamos San Juan - Lista 07;San Juan por Todos;3024;45;52;9778;10362;10124;185;7189;14742
INT;25 de Mayo;San Juan;;Cambia San Juan - Lista 13;Unidos por San Juan;1203;45;52;9778;10362;10124;185;7189;14742
INT;25 de Mayo;San Juan;;Vamos San Juan - Lista 09;San Juan por Todos;1085;45;52;9778;10362;10124;185;7189;14742
INT;25 de Mayo;San Juan;;Vamos San Juan - Lista 08;San Juan por Todos;838;45;52;9778;10362;10124;185;7189;14742
INT;25 de Mayo;San Juan;;Vamos San Juan - Lista 05;San Juan por Todos;706;45;52;9778;10362;10124;185;7189;14742
INT;25 de Mayo;San Juan;;Cambia San Juan - Lista 10;Unidos por San Juan;699;45;52;9778;10362;10124;185;7189;14742
